48
Because Z
Girl Dziewczynka
Her Jej
Martha Marta
She Ona
Small Mala
about o 
always zawsze
and i 
at o
being byciu
biology biologie
chemistry chemie
day dnia
doctor lekarzem
doesnt nie
dreams marzy
eleven jedenastej
every kazdego
free wolnego
girl dziewczynka
goes idzie
half wpol
have ma
her jej
is to
life zycie
loves uwielbia
much duzo
music muzyke
name imie
of tego
organized zorganizowane
past do
properly odpowiednio
school szkoly
she ona
six szostej
sleep spac
small mala
that powodu
time czasu
to sie
too zbyt
up sie
wakes budzi



     




